month_code;descrip;todas_edades;menores_15;de_15_a_29;De 30 a 39 a�os;De 40 a 44 a�os;De 45 a 49 a�os;De 50 a 54 a�os;De 55 a 59 a�os;De 60 a 64 a�os;De 65 a 69 a�os;De 70 a 74 a�os;De 75 a 79 a�os;De 80 a 84 a�os;De 85 a 89 a�os;De 90 a 94 a�os;De 95 a�os y m�s;
2010-01-01;Ambos sexos;270;0;22;34;25;25;34;26;20;23;14;20;11;9;5;2;
2010-02-01;Ambos sexos;227;0;9;32;30;24;19;11;22;19;12;23;11;12;3;0;
2010-03-01;Ambos sexos;293;0;28;48;33;38;35;18;20;15;14;16;16;9;3;0;
2010-04-01;Ambos sexos;289;1;22;44;36;21;32;20;21;21;19;24;13;13;1;1;
2010-05-01;Ambos sexos;313;1;28;52;24;25;37;31;17;23;19;15;26;11;4;0;
2010-06-01;Ambos sexos;268;0;17;33;22;29;22;22;20;19;20;24;16;19;4;1;
2010-07-01;Ambos sexos;280;0;25;52;32;31;22;20;18;10;19;19;18;11;3;0;
2010-08-01;Ambos sexos;273;0;26;46;31;22;21;21;17;15;16;23;14;12;7;2;
2010-09-01;Ambos sexos;265;0;23;44;33;20;29;15;19;14;14;19;17;12;5;1;
2010-10-01;Ambos sexos;240;0;12;33;32;22;23;18;16;15;16;17;19;11;6;0;
2010-11-01;Ambos sexos;202;1;12;42;22;24;17;13;13;9;8;14;14;9;3;1;
2010-12-01;Ambos sexos;238;0;15;40;25;29;20;20;18;16;16;15;12;8;3;1;
2011-01-01;Ambos sexos;256;0;10;40;36;18;23;21;16;14;20;27;16;11;2;2;
2011-02-01;Ambos sexos;243;0;24;40;32;25;28;9;15;15;16;19;14;4;1;1;
2011-03-01;Ambos sexos;296;0;22;45;36;30;30;28;19;18;12;23;23;9;1;0;
2011-04-01;Ambos sexos;268;0;18;37;24;32;32;22;12;20;16;19;14;16;5;1;
2011-05-01;Ambos sexos;277;0;21;41;34;29;22;20;14;16;23;23;22;7;5;0;
2011-06-01;Ambos sexos;285;0;23;46;27;24;25;15;17;17;27;22;26;13;2;1;
2011-07-01;Ambos sexos;263;0;20;36;27;28;23;17;25;17;23;18;15;10;3;1;
2011-08-01;Ambos sexos;269;1;21;43;25;29;24;25;11;18;14;22;19;12;5;0;
2011-09-01;Ambos sexos;263;0;15;47;18;22;29;29;18;19;13;24;13;9;5;2;
2011-10-01;Ambos sexos;259;0;24;40;24;20;25;18;20;16;11;18;21;14;6;2;
2011-11-01;Ambos sexos;242;0;21;43;21;22;26;18;11;15;15;23;18;8;1;0;
2011-12-01;Ambos sexos;259;1;25;38;39;21;28;15;16;13;14;20;15;10;4;0;
2012-01-01;Ambos sexos;285;0;34;41;29;17;32;24;20;11;18;20;21;11;5;2;
2012-02-01;Ambos sexos;265;1;36;40;28;24;28;23;18;12;12;18;13;7;4;1;
2012-03-01;Ambos sexos;309;1;21;51;34;30;28;32;18;14;17;24;23;13;2;1;
2012-04-01;Ambos sexos;291;1;23;50;29;37;22;23;17;13;19;17;20;17;3;0;
2012-05-01;Ambos sexos;324;0;26;55;43;33;33;16;20;17;24;20;24;8;4;1;
2012-06-01;Ambos sexos;310;0;30;49;29;28;23;32;20;16;14;26;22;13;7;1;
2012-07-01;Ambos sexos;338;0;28;48;37;31;27;26;22;25;19;33;24;17;1;0;
2012-08-01;Ambos sexos;312;1;27;35;25;27;41;22;18;20;22;23;26;18;7;0;
2012-09-01;Ambos sexos;297;0;15;47;30;36;22;28;18;23;22;24;16;10;4;2;
2012-10-01;Ambos sexos;267;0;18;42;31;24;29;16;19;15;17;19;23;10;3;1;
2012-11-01;Ambos sexos;250;0;22;37;21;16;26;20;22;15;23;15;20;5;6;2;
2012-12-01;Ambos sexos;291;1;25;53;28;37;27;26;18;12;7;29;16;9;2;1;
2013-01-01;Ambos sexos;344;2;23;45;30;41;36;29;27;26;28;23;20;12;2;0;
2013-02-01;Ambos sexos;289;0;31;34;38;29;30;16;26;19;16;14;21;14;1;0;
2013-03-01;Ambos sexos;359;0;23;49;35;45;38;30;32;20;24;26;21;12;2;2;
2013-04-01;Ambos sexos;324;2;27;46;31;36;42;32;26;20;17;21;15;7;2;0;
2013-05-01;Ambos sexos;335;0;19;43;36;41;38;31;19;29;24;17;23;11;3;1;
2013-06-01;Ambos sexos;363;1;31;45;31;31;42;31;28;20;22;31;24;18;6;2;
2013-07-01;Ambos sexos;357;0;26;46;40;41;39;26;29;25;17;22;27;8;9;2;
2013-08-01;Ambos sexos;308;2;19;52;27;29;39;24;17;21;17;22;24;11;4;0;
2013-09-01;Ambos sexos;345;1;31;51;36;36;35;27;26;20;25;21;20;12;3;1;
2013-10-01;Ambos sexos;301;0;27;40;21;25;46;25;14;19;22;22;19;15;5;1;
2013-11-01;Ambos sexos;259;1;19;30;26;31;31;23;11;17;16;21;20;11;2;0;
2013-12-01;Ambos sexos;286;0;25;37;28;27;34;30;15;21;19;14;23;6;6;1;
2014-01-01;Ambos sexos;339;2;32;45;24;34;38;27;25;25;16;23;28;12;6;2;
2014-02-01;Ambos sexos;293;0;24;47;28;34;28;34;11;26;9;14;22;13;3;0;
2014-03-01;Ambos sexos;318;1;32;39;29;40;39;30;19;17;13;23;15;16;5;0;
2014-04-01;Ambos sexos;338;3;30;40;27;33;30;20;32;27;27;17;22;19;10;1;
2014-05-01;Ambos sexos;331;1;25;46;33;38;36;27;17;23;19;24;19;17;5;1;
2014-06-01;Ambos sexos;371;1;28;54;43;42;38;27;26;32;18;24;16;18;4;0;
2014-07-01;Ambos sexos;342;1;25;30;34;41;49;29;26;19;22;27;16;14;9;0;
2014-08-01;Ambos sexos;354;0;28;43;32;47;49;28;23;19;21;18;18;21;5;2;
2014-09-01;Ambos sexos;334;0;31;41;34;40;42;17;21;17;19;20;29;17;6;0;
2014-10-01;Ambos sexos;332;1;18;37;37;46;33;24;28;23;26;21;14;13;9;2;
2014-11-01;Ambos sexos;283;0;23;37;37;32;25;24;24;15;13;16;18;17;2;0;
2014-12-01;Ambos sexos;275;0;23;45;28;30;31;26;16;13;12;19;15;12;5;0;
2015-01-01;Ambos sexos;276;2;16;29;26;26;28;32;16;18;21;16;29;8;7;2;
2015-02-01;Ambos sexos;270;0;28;26;19;30;24;28;14;17;15;25;18;16;7;3;
2015-03-01;Ambos sexos;367;0;30;57;34;38;30;45;19;24;22;15;31;16;6;0;
2015-04-01;Ambos sexos;287;1;23;30;30;37;29;25;18;19;20;24;17;11;2;1;
2015-05-01;Ambos sexos;331;2;27;37;29;33;34;35;25;29;18;18;13;21;9;1;
2015-06-01;Ambos sexos;308;0;21;49;32;37;27;23;16;20;18;22;25;9;9;0;
2015-07-01;Ambos sexos;359;0;31;31;39;40;32;31;25;25;15;30;28;20;11;1;
2015-08-01;Ambos sexos;312;1;16;46;29;29;40;20;28;17;22;19;24;15;4;2;
2015-09-01;Ambos sexos;295;0;35;36;28;38;30;27;25;9;8;23;21;14;1;0;
2015-10-01;Ambos sexos;274;1;29;27;39;23;35;19;22;13;13;19;19;8;4;3;
2015-11-01;Ambos sexos;235;0;23;27;19;25;27;18;15;18;14;19;16;12;2;0;
2015-12-01;Ambos sexos;288;1;17;32;31;31;36;29;28;19;20;17;14;11;2;0;
2016-01-01;Ambos sexos;301;1;25;41;33;28;29;28;20;24;13;19;19;14;6;1;
2016-02-01;Ambos sexos;283;1;16;30;28;32;30;28;24;21;19;24;13;10;6;1;
2016-03-01;Ambos sexos;289;2;24;34;27;37;32;22;23;25;18;18;16;5;5;1;
2016-04-01;Ambos sexos;292;0;13;48;36;24;36;15;29;21;12;19;22;10;7;0;
2016-05-01;Ambos sexos;320;1;20;36;35;25;41;25;25;29;18;22;22;12;6;3;
2016-06-01;Ambos sexos;328;1;23;42;38;29;36;33;22;23;24;23;17;13;4;0;
2016-07-01;Ambos sexos;311;3;23;36;25;35;23;31;22;23;14;31;27;8;7;3;
2016-08-01;Ambos sexos;321;0;20;41;28;22;38;30;26;21;26;19;27;15;6;2;
2016-09-01;Ambos sexos;311;0;22;47;21;25;28;37;28;24;14;23;17;12;11;2;
2016-10-01;Ambos sexos;269;1;22;26;30;24;36;28;14;16;21;16;16;11;7;1;
2016-11-01;Ambos sexos;251;1;17;36;28;31;24;23;18;14;10;6;20;17;6;0;
2016-12-01;Ambos sexos;293;1;22;39;26;37;24;23;19;22;23;16;15;16;8;2;
2017-01-01;Ambos sexos;279;1;24;34;22;22;33;32;22;18;19;12;17;12;10;1;
2017-02-01;Ambos sexos;297;2;26;24;37;27;28;38;18;20;16;16;25;18;0;2;
2017-03-01;Ambos sexos;310;3;18;41;26;30;45;24;25;21;17;18;25;12;3;2;
2017-04-01;Ambos sexos;300;1;17;34;38;39;27;20;20;13;24;23;26;15;3;0;
2017-05-01;Ambos sexos;319;1;20;39;24;40;44;31;25;19;17;18;24;11;4;2;
2017-06-01;Ambos sexos;328;1;23;39;29;35;40;23;23;21;21;16;32;14;10;1;
2017-07-01;Ambos sexos;348;0;29;44;33;30;31;32;29;19;27;20;23;21;9;1;
2017-08-01;Ambos sexos;337;1;24;40;32;29;36;35;24;18;23;23;20;24;7;1;
2017-09-01;Ambos sexos;307;1;26;37;27;31;46;35;15;18;16;13;21;14;6;1;
2017-10-01;Ambos sexos;346;1;27;45;29;34;33;39;17;28;29;19;21;19;4;1;
2017-11-01;Ambos sexos;267;0;15;44;26;29;26;26;18;19;21;11;17;11;3;1;
2017-12-01;Ambos sexos;241;1;24;31;21;21;32;27;15;16;15;15;8;9;5;1;
