month_code;month; year;number_of_suicide_news
2007-01-01;01;2007;169
2007-02-01;02;2007;166
2007-03-01;03;2007;170
2007-04-01;04;2007;142
2007-05-01;05;2007;147
2007-06-01;06;2007;106
2007-07-01;07;2007;116
2007-08-01;08;2007;201
2007-09-01;09;2007;221
2007-10-01;10;2007;151
2007-11-01;11;2007;93
2007-12-01;12;2007;117
2008-01-01;01;2008;126
2008-02-01;02;2008;163
2008-03-01;03;2008;135
2008-04-01;04;2008;146
2008-05-01;05;2008;123
2008-06-01;06;2008;108
2008-07-01;07;2008;182
2008-08-01;08;2008;137
2008-09-01;09;2008;169
2008-10-01;10;2008;135
2008-11-01;11;2008;158
2008-12-01;12;2008;154
2009-01-01;01;2009;148
2009-02-01;02;2009;174
2009-03-01;03;2009;161
2009-04-01;04;2009;145
2009-05-01;05;2009;146
2009-06-01;06;2009;122
2009-07-01;07;2009;128
2009-08-01;08;2009;145
2009-09-01;09;2009;154
2009-10-01;10;2009;167
2009-11-01;11;2009;148
2009-12-01;12;2009;181
2010-01-01;01;2010;149
2010-02-01;02;2010;145
2010-03-01;03;2010;158
2010-04-01;04;2010;162
2010-05-01;05;2010;174
2010-06-01;06;2010;195
2010-07-01;07;2010;150
2010-08-01;08;2010;120
2010-09-01;09;2010;150
2010-10-01;10;2010;159
2010-11-01;11;2010;187
2010-12-01;12;2010;212
2011-01-01;01;2011;208
2011-02-01;02;2011;160
2011-03-01;03;2011;137
2011-04-01;04;2011;191
2011-05-01;05;2011;227
2011-06-01;06;2011;153
2011-07-01;07;2011;142
2011-08-01;08;2011;144
2011-09-01;09;2011;138
2011-10-01;10;2011;142
2011-11-01;11;2011;198
2011-12-01;12;2011;231
2012-01-01;01;2012;210
2012-02-01;02;2012;160
2012-03-01;03;2012;143
2012-04-01;04;2012;191
2012-05-01;05;2012;156
2012-06-01;06;2012;136
2012-07-01;07;2012;129
2012-08-01;08;2012;145
2012-09-01;09;2012;148
2012-10-01;10;2012;178
2012-11-01;11;2012;328
2012-12-01;12;2012;208
2013-01-01;01;2013;151
2013-02-01;02;2013;194
2013-03-01;03;2013;175
2013-04-01;04;2013;185
2013-05-01;05;2013;200
2013-06-01;06;2013;199
2013-07-01;07;2013;124
2013-08-01;08;2013;124
2013-09-01;09;2013;156
2013-10-01;10;2013;140
2013-11-01;11;2013;108
2013-12-01;12;2013;121
2014-01-01;01;2014;138
2014-02-01;02;2014;176
2014-03-01;03;2014;191
2014-04-01;04;2014;146
2014-05-01;05;2014;161
2014-06-01;06;2014;166
2014-07-01;07;2014;145
2014-08-01;08;2014;181
2014-09-01;09;2014;154
2014-10-01;10;2014;147
2014-11-01;11;2014;159
2014-12-01;12;2014;146
2015-01-01;01;2015;166
2015-02-01;02;2015;131
2015-03-01;03;2015;202
2015-04-01;04;2015;182
2015-05-01;05;2015;186
2015-06-01;06;2015;153
2015-07-01;07;2015;196
2015-08-01;08;2015;256
2015-09-01;09;2015;137
2015-10-01;10;2015;200
2015-11-01;11;2015;139
2015-12-01;12;2015;148
2016-01-01;01;2016;189
2016-02-01;02;2016;153
2016-03-01;03;2016;219
2016-04-01;04;2016;173
2016-05-01;05;2016;166
2016-06-01;06;2016;154
2016-07-01;07;2016;164
2016-08-01;08;2016;199
2016-09-01;09;2016;192
2016-10-01;10;2016;186
2016-11-01;11;2016;120
2016-12-01;12;2016;124
2017-01-01;01;2017;154
2017-02-01;02;2017;144
2017-03-01;03;2017;121
2017-04-01;04;2017;103
2017-05-01;05;2017;120
2017-06-01;06;2017;76
2017-07-01;07;2017;130
2017-08-01;08;2017;85
2017-09-01;09;2017;106
2017-10-01;10;2017;105
2017-11-01;11;2017;103
2017-12-01;12;2017;81